id;nome_alimento;preparo;kcal;proteina;lipidios;carboidratos;fibra
335;Moranga;Cozido(a);20;0.72;0.07;4.9;1.1
336;Moranga;Refogado(a);36.39;0.72;1.92;4.9;1.1
337;Moranga;Ensopado;36.39;0.72;1.92;4.9;1.1
338;Moranga;Não se aplica;20;0.72;0.07;4.9;1.1
339;Abobrinha;Cru(a);16;1.21;0.18;3.35;1.1
340;Abobrinha;Cozido(a);20;0.91;0.31;4.31;1.4
341;Abobrinha;Grelhado(a)/brasa/churrasco;20;0.91;0.31;4.31;1.4
342;Abobrinha;Assado(a);20;0.91;0.31;4.31;1.4
343;Abobrinha;Frito(a);42.3;0.91;2.83;4.31;1.4
344;Abobrinha;Empanado(a)/à milanesa;160.71;4.35;8.92;16.01;1.56
345;Abobrinha;Refogado(a);42.3;0.91;2.83;4.31;1.4
346;Abobrinha;Ensopado;42.3;0.91;2.83;4.31;1.4
347;Jerimum;Cru(a);20;0.72;0.07;4.9;1.1
348;Jerimum;Cozido(a);20;0.72;0.07;4.9;1.1
349;Abóbora;Cru(a);20;0.72;0.07;4.9;1.1
350;Abóbora;Cozido(a);20;0.72;0.07;4.9;1.1
351;Abóbora;Assado(a);20;0.72;0.07;4.9;1.1
352;Abóbora;Frito(a);36.39;0.72;1.92;4.9;1.1
353;Abóbora;Refogado(a);36.39;0.72;1.92;4.9;1.1
354;Abóbora;Molho vermelho;20.8;0.84;0.09;5;1.18
355;Abóbora;Ensopado;36.39;0.72;1.92;4.9;1.1
356;Abóbora;Sopa;31.44;0.95;0.12;7.01;0.71
357;Abóbora;Não se aplica;20;0.72;0.07;4.9;1.1
358;Pépino;Não se aplica;15;0.65;0.11;3.63;1.14
359;Chuchu;Cru(a);24;0.62;0.48;5.09;2.8
360;Chuchu;Cozido(a);24;0.62;0.48;5.09;2.8
361;Chuchu;Assado(a);24;0.76;0.42;5.15;2.54
362;Chuchu;Refogado(a);49.09;0.62;3.32;5.09;2.8
363;Chuchu;Molho vermelho;24;0.76;0.42;5.15;2.54
364;Chuchu;Ao alho e óleo;49.09;0.62;3.32;5.09;2.8
365;Chuchu;Ao vinagrete;24;0.62;0.48;5.09;2.8
366;Chuchu;Ensopado;49.09;0.62;3.32;5.09;2.8
367;Chuchu;Sopa;31.44;0.95;0.12;7.01;0.71
368;Jiló;Cru(a);22;1.87;0.21;4.51;2.5
369;Jiló;Cozido(a);22;1.87;0.21;4.51;2.5
370;Jiló;Assado(a);22;1.87;0.21;4.51;2.5
371;Jiló;Frito(a);47.09;1.87;3.05;4.51;2.5
372;Jiló;Refogado(a);47.09;1.87;3.05;4.51;2.5
373;Jiló;Com manteiga/óleo;43.19;1.9;2.61;4.51;2.5
374;Jiló;Ensopado;47.09;1.87;3.05;4.51;2.5
